DVM,SnowFlake_ERPJobSetFTPServer,"Stores ERP, Job Set, Ftp Server info"
ServerName,HeaderMessageId,HeaderAction,EndPointURL,EndPointSoapAction,JOBSETName,JOBSETPackageName,JOBSETType,JOBSETApplication,RecordCount,InterfaceID
DS_SFTP,urn:uuid:428f0119-c0da-4a83-9f06-d06ba672a7e5,submitRequest,https://fa-epxm-dev7-saasfaprod1.fa.ocs.oraclecloud.com:443/ess/esswebservice,submitRequest,DS_OSS_ESSJOBSET_SUBSCRIPTIONS,/oracle/apps/ess/custom/,JOB_SET,FscmEss,500000,ASP1883
DS_SFTP,urn:uuid:428f0119-c0da-4a83-9f06-d06ba672a7e5,submitRequest,https://fa-epxm-dev7-saasfaprod1.fa.ocs.oraclecloud.com:443/ess/esswebservice,submitRequest,DS_AR_ESSJOBSET_AROBJECTS,/oracle/apps/ess/custom/,JOB_SET,FscmEss,500000,ASP2968
